id,source name,des.arc.bound,des.arc.cloud,des.arc.dece,des.arc.fault,des.arc.flex,des.des.api,des.des.circ,des.des.db,des.des.msg,des.des.srvd,des.sec.aut,des.sec.fine,des.sec.fw,des.sec.iso,des.sec.layer,dev.ms.cicd,dev.ms.loose,dev.ms.reuse,dev.ms.ssize,dev.ms.agil,dev.ms.tech,dev.sto.pers,dev.sto.iso,dev.sto.ms,dev.tst.auto,dev.tst.roll,dev.tst.unit,dev.tst.upd,ope.dep.cont,ope.dep.ind,ope.dep.rel,ope.dep.spe,ope.man.fault,ope.man.sca,ope.man.upd
42,Engineering At Scale,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
43,OpenLegacy,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
44,Checkmarx,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,DreamFactory,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
46,Digiteum,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
47,Redwerk,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
48,"Ovid's Programming, Politics, and Prose",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
49,Google,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
50,Akamai,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,SPK and Associates,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
52,Lambdatest,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1
53,IntelliSoft,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
54,PhoenixNAP,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0
55,Forbytes,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
